geography,crisis,fold,epoch,training_loss,validation_loss,training_mae,validation_mae,learning_rate
County,Great Recession,single split,31,0.8849628567695618,1.2576473951339722,0.645060122013092,0.6838425993919373,0.0020000000949949026
County,Great Recession,single split,32,0.8729586005210876,1.2583707571029663,0.6419121623039246,0.6841013431549072,0.0020000000949949026
County,Great Recession,single split,33,0.8783054351806641,1.2624926567077637,0.64069366455078125,0.6861082315444946,0.0020000000949949026
County,Great Recession,single split,34,0.8743200898170471,1.2625113725662231,0.6394893527030945,0.6867499947547913,0.0020000000949949026
County,Great Recession,single split,35,0.8866841793060303,1.261125922203064,0.6490916013717651,0.6858255863189697,0.0020000000949949026
County,Great Recession,single split,36,0.9047960638999939,1.2618919610977173,0.6497354507446289,0.6842684149742126,0.0020000000949949026
County,Great Recession,single split,37,0.8795945644378662,1.26237952709198,0.6422752141952515,0.684165894985199,0.0020000000949949026
County,Great Recession,single split,38,0.8691438436508179,1.2614686489105225,0.6402150392532349,0.6828235983848572,0.0010000000474974513
County,Great Recession,single split,39,0.8749767541885376,1.2631508111953735,0.6427209973335266,0.6843430995941162,0.0010000000474974513
County,Great Recession,single split,40,0.876883327960968,1.2640390396118164,0.6448409557342529,0.6857088804244995,0.0010000000474974513
County,Great Recession,single split,41,0.8676705360412598,1.2632545232772827,0.6423168182373047,0.6856474876403809,0.0010000000474974513
County,Great Recession,single split,42,0.8682888150215149,1.2591438293457031,0.6393646001815796,0.6848685145378113,0.0010000000474974513
County,Great Recession,single split,43,0.8713214993476868,1.2587920427322388,0.6400586366653442,0.6873635053634644,0.0010000000474974513
County,Great Recession,single split,44,0.8758295178413391,1.2605552673339844,0.6450837850570679,0.689028263092041,0.0010000000474974513
County,Great Recession,single split,45,0.8547828197479248,1.2618536949157715,0.6364902257919312,0.6884763240814209,0.0010000000474974513
County,Great Recession,single split,46,0.86277836561203,1.26180100440979,0.6380278468132019,0.6879561543464661,5.000000237487257e-4
County,Great Recession,single split,47,0.8764910101890564,1.2608363628387451,0.6393235921859741,0.6878230571746826,5.000000237487257e-4
County,Great Recession,single split,48,0.86801910400390625,1.2609509229660034,0.6414936184883118,0.6883026957511902,5.000000237487257e-4
County,Great Recession,single split,49,0.8846858739852905,1.2620137929916382,0.643536388874054,0.6889153122901917,5.000000237487257e-4
County,COVID-19,single split,1,1.465155005455017,0.708878219127655,0.8154935240745544,0.60542893409729,0.0020000000949949026
County,COVID-19,single split,2,1.0690531730651855,0.6912075281143188,0.6680135130882263,0.5882095694541931,0.0020000000949949026
County,COVID-19,single split,3,0.9949982762336731,0.6591379642486572,0.6237590909004211,0.5753354430198669,0.0020000000949949026
County,COVID-19,single split,4,0.9597727060317993,0.643098771572113,0.614222526550293,0.5664353966712952,0.0020000000949949026
